"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q3","SOT23","43.9713mm","30.6896mm","44.9218mm","31.7246mm","44.9238mm","31.7056mm","T","180.00","8050"
"Q5","SOT23","65.5867mm","30.6896mm","66.5372mm","31.7246mm","66.5392mm","31.7056mm","T","180.00","8050"
"R1","0603R","15.661mm","42.4942mm","15.661mm","42.4942mm","14.8355mm","42.4942mm","T","0.00","1.1k¦¸%"
"R2","0603R","40.1212mm","37.9984mm","40.1212mm","37.9984mm","40.1212mm","37.1729mm","T","90.00","10K"
"R3","0603R","24.297mm","43.4848mm","24.297mm","43.4848mm","23.4715mm","43.4848mm","T","360.00","6.8k"
"R22","0603R","15.7118mm","40.8178mm","15.7118mm","40.8178mm","16.5373mm","40.8178mm","T","180.00","10k%1"
"R13","0603R","12.4606mm","42.4942mm","12.4606mm","42.4942mm","11.6351mm","42.4942mm","T","360.00","10k%1"
"R60","0603R","40.8324mm","33.4772mm","40.8324mm","33.4772mm","40.8324mm","32.6517mm","T","90.00","10K"
"R63","0603R","62.27mm","33.5788mm","62.27mm","33.5788mm","62.27mm","32.7533mm","T","90.00","10K"
"R77","0603R","44.0074mm","34.8234mm","44.0074mm","34.8234mm","43.1819mm","34.8234mm","T","360.00","5.1K"
"R78","0603R","65.4958mm","34.8234mm","65.4958mm","34.8234mm","64.6703mm","34.8234mm","T","360.00","5.1K"
"R82","0603R","65.4958mm","33.1978mm","65.4958mm","33.1978mm","64.6703mm","33.1978mm","T","360.00","4.7K"
"R83","0603R","44.0328mm","33.1978mm","44.0328mm","33.1978mm","43.2073mm","33.1978mm","T","360.00","4.7K"
"RL1","HF32F-12V","44.704mm","17.2466mm","41.91mm","24.8666mm","40.894mm","24.8666mm","T","90.00","JQ1P-24V"
"RL3","HF32F-12V","66.0038mm","17.2466mm","63.2098mm","24.8666mm","62.1938mm","24.8666mm","T","90.00","JQ1P-24V"
"C50","0603C","58.079mm","30.0482mm","58.079mm","30.0482mm","58.9045mm","30.0482mm","T","180.00","104"
"C67","0603C","58.1298mm","31.75mm","58.1298mm","31.75mm","57.3043mm","31.75mm","T","360.00","104"
"D13","1206D","56.3264mm","27.7622mm","56.3264mm","27.7622mm","54.6119mm","27.7622mm","T","360.00","1N4007"
"LED3","D0805","51.1362mm","28.8014mm","51.1448mm","29.9466mm","51.1362mm","29.9444mm","T","360.00","RED"
"Q4","SOT23","54.779mm","30.6896mm","55.7295mm","31.7246mm","55.7315mm","31.7056mm","T","180.00","8050"
"R61","0603R","51.1194mm","33.2994mm","51.1194mm","33.2994mm","51.1194mm","32.4739mm","T","90.00","10K"
"R79","0603R","54.7516mm","34.8234mm","54.7516mm","34.8234mm","53.9261mm","34.8234mm","T","360.00","5.1K"
"R85","0603R","54.7643mm","33.1978mm","54.7643mm","33.1978mm","53.9388mm","33.1978mm","T","360.00","4.7K"
"RL2","HF32F-12V","55.3539mm","17.2466mm","52.5599mm","24.8666mm","51.5439mm","24.8666mm","T","90.00","JQ1P-24V"
"C61","0603C","64.4906mm","62.7126mm","64.4906mm","62.7126mm","65.3161mm","62.7126mm","T","180.00","104"
"C62","0603C","68.3152mm","47.5488mm","68.3152mm","47.5488mm","69.1407mm","47.5488mm","T","180.00","104"
"C63","0603C","58.2677mm","62.7126mm","58.2677mm","62.7126mm","59.0932mm","62.7126mm","T","180.00","104"
"C64","0603C","62.9412mm","47.5488mm","62.9412mm","47.5488mm","63.7667mm","47.5488mm","T","180.00","104"
"R66","0603R","68.366mm","45.8724mm","68.366mm","45.8724mm","67.5405mm","45.8724mm","T","360.00","10K"
"R67","0603R","62.9412mm","45.6692mm","62.9412mm","45.6692mm","62.1157mm","45.6692mm","T","360.00","10K"
"R71","0603R","64.5052mm","64.2112mm","64.5052mm","64.2112mm","63.6797mm","64.2112mm","T","360.00","10K"
"R72","0603R","58.2623mm","64.2112mm","58.2623mm","64.2112mm","57.4368mm","64.2112mm","T","360.00","10K"
"UG1","DIP-4","67.6218mm","54.6508mm","68.8994mm","59.2074mm","68.8918mm","59.2228mm","T","360.00","PS2501L-1"
"UG2","DIP-4","62.2624mm","54.6254mm","63.54mm","59.182mm","63.5324mm","59.1974mm","T","360.00","PS2501L-1"
"C18","0805C","20.8299mm","52.959mm","19.7504mm","52.959mm","19.6234mm","52.959mm","T","360.00","0.1uF"
"5","HOLD-3.5MM","5mm","69mm","-12.573mm","68.8086mm","5mm","69mm","T","90.00",""
"6","HOLD-3.5MM","70mm","69mm","81.4578mm","69.0372mm","70mm","69mm","T","90.00",""
"7","HOLD-3.5MM","5mm","4mm","81.9296mm","5.1816mm","5mm","4mm","T","90.00",""
"8","HOLD-3.5MM","70mm","4mm","92.4452mm","5.1816mm","70mm","4mm","T","90.00",""

