Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 22000  Y 54000
X 14000  Y 63600
X 6000  Y 63600
X 23200  Y 63600
X 16400  Y 73200
X 8400  Y 73200
X 24400  Y 73200
X 6000  Y 96000
X 14000  Y 96000
X 16000  Y 104000
X 22000  Y 108000
X 22000  Y 116000
X 8000  Y 122000
X 16000  Y 122000
X 20000  Y 128000
X 12000  Y 128000
X 4000  Y 128000
X 16000  Y 152000
X 8000  Y 152000
X 4000  Y 160000
X 20000  Y 160000
X 12000  Y 160000
X 16000  Y 166000
X 8000  Y 166000
X 4000  Y 172000
X 20000  Y 172000
X 12000  Y 172000
X 16000  Y 178000
X 8000  Y 178000
X 4000  Y 184000
X 20000  Y 184000
X 12000  Y 184000
X 16000  Y 190000
X 8000  Y 190000
X 20000  Y 196000
X 12000  Y 196000
X 4000  Y 196000
X 8000  Y 202000
X 16000  Y 202000
X 20000  Y 208000
X 12000  Y 208000
X 4000  Y 208000
X 16000  Y 214000
X 8000  Y 214000
X 4000  Y 220000
X 12000  Y 220000
X 20000  Y 220000
X 18000  Y 228000
X 10000  Y 228000
X 6000  Y 234000
X 14000  Y 234000
X 22000  Y 234000
X 4000  Y 240000
X 10000  Y 240000
X 18000  Y 240000
X 26000  Y 240000
X 6000  Y 248000
X 12000  Y 248000
X 18000  Y 248000
X 24000  Y 248000
X 28000  Y 254000
X 22000  Y 254000
X 16000  Y 254000
X 4000  Y 254000
X 10000  Y 254000
X 24000  Y 280000
X 28000  Y 308000
X 24000  Y 328000
X 24000  Y 336000
X 24000  Y 344000
X 16000  Y 344000
X 8000  Y 344000
X 24000  Y 352000
X 16000  Y 352000
X 8000  Y 352000
X 15000  Y 360000
X 15000  Y 366000
X 14000  Y 373500
X 7000  Y 373500
X 14000  Y 381500
X 7500  Y 381500
X 14000  Y 402000
X 22000  Y 402000
X 6000  Y 402000
X 18000  Y 410000
X 10000  Y 410000
X 14000  Y 418000
X 26400  Y 418000
X 14000  Y 426000
X 10000  Y 442000
X 8000  Y 448000
X 16000  Y 448000
X 16000  Y 456000
X 8000  Y 456000
X 8000  Y 464000
X 16000  Y 464000
X 24000  Y 464000
X 50000  Y 506000
X 48000  Y 500000
X 48000  Y 492000
X 48000  Y 484000
X 32000  Y 464000
X 51000  Y 427000
X 51000  Y 420000
X 41000  Y 416000
X 50600  Y 410800
X 31000  Y 407000
X 39000  Y 407000
X 46200  Y 401600
X 40000  Y 352000
X 32000  Y 352000
X 53200  Y 352000
X 48000  Y 352000
X 40000  Y 344000
X 32000  Y 344000
X 48000  Y 344000
X 40000  Y 336000
X 32000  Y 336000
X 48000  Y 336000
X 50000  Y 320000
X 50000  Y 308000
X 38000  Y 306000
X 52000  Y 282000
X 32000  Y 280000
X 40000  Y 280000
X 52000  Y 268000
X 50000  Y 254000
X 42000  Y 254000
X 46000  Y 248000
X 30000  Y 248000
X 38000  Y 248000
X 34000  Y 240000
X 48000  Y 8000
X 64000  Y 8000
X 56000  Y 8000
X 78000  Y 248000
X 70000  Y 248000
X 62000  Y 248000
X 54000  Y 248000
X 66000  Y 254000
X 74000  Y 254000
X 58000  Y 254000
X 76000  Y 268000
X 68000  Y 268000
X 60000  Y 268000
X 76000  Y 282000
X 68000  Y 282000
X 60000  Y 282000
X 74000  Y 308000
X 66000  Y 308000
X 58000  Y 308000
X 72000  Y 320000
X 66000  Y 320000
X 58000  Y 320000
X 56000  Y 336000
X 56000  Y 344000
X 64000  Y 370000
X 58000  Y 386000
X 56000  Y 392000
X 54600  Y 402800
X 64000  Y 406000
X 76000  Y 407500
X 60000  Y 412000
X 67000  Y 448000
X 56000  Y 448000
X 72000  Y 460000
X 72000  Y 468000
X 72000  Y 476000
X 72000  Y 484000
X 64000  Y 484000
X 56000  Y 484000
X 72000  Y 492000
X 64000  Y 492000
X 56000  Y 492000
X 56000  Y 500000
X 64000  Y 500000
X 72000  Y 500000
X 58000  Y 506000
X 66000  Y 506000
X 74000  Y 506000
X 82000  Y 506000
X 90000  Y 506000
X 98000  Y 506000
X 80000  Y 500000
X 88000  Y 500000
X 96000  Y 500000
X 80000  Y 492000
X 96000  Y 492000
X 88000  Y 492000
X 80000  Y 484000
X 96000  Y 484000
X 88000  Y 484000
X 80000  Y 476000
X 80000  Y 468000
X 80000  Y 460000
X 89500  Y 407500
X 82500  Y 407500
X 90000  Y 400000
X 82400  Y 400000
X 100000  Y 380000
X 84000  Y 282000
X 98000  Y 280000
X 84000  Y 268000
X 92000  Y 268000
X 90000  Y 254000
X 98000  Y 254000
X 82000  Y 254000
