"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"L6","1206R","153.925mm","35.3144mm","153.924mm","33.528mm","153.925mm","33.5364mm","T","90.00","1uH"
"LED1","D0805","110.7462mm","64.8884mm","109.601mm","64.897mm","109.6032mm","64.8884mm","T","90.00","RED"
"LED2","D0805","6.783mm","34.0338mm","6.7916mm","35.179mm","6.783mm","35.1768mm","T","0.00","RED"
"LED5","D0805","17.705mm","34.0338mm","17.7136mm","35.179mm","17.705mm","35.1768mm","T","0.00","RED"
"MAKE1","MARK1.0","147.574mm","2.794mm","147.574mm","2.794mm","147.574mm","2.794mm","T","90.00","MARK1.0"
"MARKE1","MARK1.0","12.827mm","2.921mm","12.827mm","2.921mm","12.827mm","2.921mm","T","90.00","MARK1.0"
"Q1","SOT23","111.4399mm","61.6711mm","110.415mm","62.611mm","110.4239mm","62.6236mm","T","270.00","8050"
"Q2","SOT23","43.105mm","63.678mm","44.1299mm","62.738mm","44.121mm","62.7255mm","T","90.00","8050"
"Q3","SOT23","10.7112mm","35.3569mm","11.736mm","34.417mm","11.7272mm","34.4044mm","T","90.00","8050"
"Q15","SOT23","91.1351mm","32.2491mm","92.075mm","33.274mm","92.0875mm","33.2651mm","T","180.00","9013"
"Q6","SOT23","21.769mm","35.2933mm","22.7939mm","34.3533mm","22.785mm","34.3408mm","T","90.00","8050"
"R1","0603R","28.119mm","60.071mm","28.119mm","60.071mm","28.119mm","60.8965mm","T","270.00","1.2k¦¸"
"R4","0603R","25.833mm","60.071mm","25.833mm","60.071mm","25.833mm","60.8965mm","T","270.00","43k"
"R5","0603R","30.278mm","60.071mm","30.278mm","60.071mm","30.278mm","59.2455mm","T","90.00","10k"
"R7","0603R","21.642mm","60.071mm","21.642mm","60.071mm","21.642mm","59.2455mm","T","90.00","6.8k"
"R2","0603R","23.166mm","74.549mm","23.166mm","74.549mm","23.9915mm","74.549mm","T","180.00","4K7"
