"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"LED2","D0805","72.0004mm","92.4538mm","72.009mm","93.599mm","72.0004mm","93.5968mm","T","360.00","RED"
"R90","0603R","72.009mm","97.282mm","72.009mm","97.282mm","72.009mm","96.4565mm","T","90.00","15K"
"EC3","C100UF16VEJ","20.065mm","20.0923mm","20.066mm","23.368mm","20.055mm","23.3682mm","T","270.00","100uF,25V"
"LED5","D0805","61.3388mm","85.3526mm","62.484mm","85.344mm","62.4818mm","85.3526mm","T","270.00","Green"
"Q3","SOT23","64.7611mm","77.5209mm","65.786mm","76.581mm","65.7771mm","76.5684mm","T","90.00","9013"
"Q4","SOT23","22.428mm","43.5521mm","23.368mm","44.577mm","23.3805mm","44.5681mm","T","180.00","9013"
"Q7","SOT23","63.703mm","81.6521mm","64.643mm","82.677mm","64.6556mm","82.6681mm","T","180.00","9013"
"U8","TO5B","11.6892mm","49.6354mm","18.288mm","46.228mm","18.2892mm","46.2318mm","T","180.00","MIC29302"
"C33","C0603","60.706mm","71.882mm","60.706mm","71.882mm","59.8805mm","71.882mm","T","360.00","0.1uF"
"C52","C0603","27.305mm","64.643mm","27.305mm","64.643mm","27.305mm","65.4685mm","T","270.00","0.1uF"
"C60","C0603","25.654mm","64.643mm","25.654mm","64.643mm","25.654mm","65.4685mm","T","270.00","0.1uF"
"C61","C0603","23.876mm","52.07mm","23.876mm","52.07mm","23.0505mm","52.07mm","T","360.00","0.1uF"
"C66","C0603","29.464mm","83.312mm","29.464mm","83.312mm","29.464mm","84.1375mm","T","270.00","33pF"
"C67","C0603","27.813mm","83.312mm","27.813mm","83.312mm","27.813mm","84.1375mm","T","270.00","1uF"
"C68","C0603","34.3694mm","83.3755mm","34.3694mm","83.3755mm","34.3694mm","84.201mm","T","270.00","33pF"
"C69","C0603","40.9258mm","83.3755mm","40.9258mm","83.3755mm","40.9258mm","84.201mm","T","270.00","33pF"
"C70","C0603","32.7343mm","83.3755mm","32.7343mm","83.3755mm","32.7343mm","84.201mm","T","270.00","33pF"
"D7","SOT23","65.0329mm","73.609mm","64.008mm","74.549mm","64.0169mm","74.5615mm","T","270.00","BAT54-V"
"EC5","C100UF16V","14.096mm","62.0023mm","14.097mm","65.278mm","14.086mm","65.2782mm","T","270.00","220uF/10V"
"EC6","C100UF16V","21.081mm","62.0023mm","21.082mm","65.278mm","21.071mm","65.2782mm","T","270.00","220uF/10V"
"L6","LC7*7*3_L","6.604mm","62.23mm","6.604mm","62.23mm","6.604mm","59.63mm","T","90.00","22uH"
"R40","R0603","60.706mm","73.66mm","60.706mm","73.66mm","61.5315mm","73.66mm","T","180.00","5.1K"
"R41","R0603","67.945mm","77.343mm","67.945mm","77.343mm","67.945mm","76.5175mm","T","90.00","10K"
"R42","R0603","21.463mm","47.117mm","21.463mm","47.117mm","21.463mm","46.2915mm","T","90.00","10K"
"R43","R0603","21.59mm","52.832mm","21.59mm","52.832mm","21.59mm","53.6575mm","T","270.00","2.7K 1%"
